145 130 0 32
146 130 0 51
147 130 0 88
148 130 0 85
149 130 0 79
145 131 0 51
146 131 0 81
147 131 0 112
145 132 0 45
146 132 0 75
147 132 0 112
148 132 0 112
151 132 0 79
144 133 0 25
145 133 0 43
146 133 0 73
147 133 0 112
148 133 0 112
149 133 0 112
151 133 0 85
152 133 0 67
144 134 0 27
145 134 0 45
146 134 0 75
147 134 0 112
148 134 0 112
149 134 0 112
150 134 0 112
151 134 0 88
152 134 0 72
146 135 0 64
147 135 0 112
148 135 0 112
149 135 0 112
151 135 0 79
152 135 0 61
145 136 0 31
146 136 0 53
147 136 0 95
148 136 0 112
150 136 0 87
151 136 0 65
152 136 0 39
145 137 0 17
146 137 0 28
147 137 0 53
148 137 0 64
149 137 0 59
150 137 0 53
151 137 0 42
152 137 0 25
145 138 0 11
146 138 0 17
147 138 0 31
149 138 0 37
150 138 0 31
151 138 0 25
146 139 0 8
147 139 0 13
148 139 0 24
149 139 0 19
150 139 0 16
145 129 1 44
146 129 1 69
147 129 1 112
149 129 1 82
145 130 1 51
146 130 1 81
147 130 1 138
148 130 1 133
149 130 1 123
150 130 1 96
144 131 1 52
145 131 1 81
146 131 1 128
147 131 1 176
148 131 1 168
149 131 1 158
151 131 1 96
144 132 1 43
145 132 1 72
146 132 1 119
147 132 1 176
148 132 1 176
149 132 1 168
150 132 1 158
151 132 1 123
152 132 1 82
143 133 1 5
145 133 1 69
146 133 1 116
147 133 1 176
148 133 1 176
149 133 1 176
150 133 1 168
151 133 1 133
143 134 1 8
144 134 1 43
145 134 1 72
146 134 1 119
147 134 1 176
148 134 1 176
149 134 1 176
150 134 1 176
151 134 1 138
152 134 1 112
144 135 1 38
145 135 1 64
147 135 1 176
148 135 1 176
149 135 1 176
150 135 1 159
151 135 1 124
152 135 1 95
144 136 1 21
146 136 1 85
148 136 1 176
149 136 1 159
150 136 1 137
152 136 1 61
144 137 1 13
145 137 1 28
146 137 1 46
147 137 1 85
149 137 1 94
150 137 1 84
151 137 1 66
152 137 1 39
144 138 1 8
145 138 1 18
146 138 1 28
148 138 1 64
149 138 1 59
150 138 1 49
151 138 1 39
145 139 1 8
146 139 1 13
147 139 1 21
148 139 1 38
150 139 1 25
145 129 2 72
146 129 2 112
147 129 2 176
148 129 2 162
149 129 2 126
145 130 2 88
146 130 2 138
147 130 2 224
148 130 2 214
149 130 2 194
150 130 2 148
144 131 2 86
145 131 2 138
146 131 2 214
147 131 2 288
148 131 2 274
149 131 2 254
151 131 2 148
144 132 2 74
145 132 2 126
147 132 2 288
148 132 2 288
149 132 2 274
150 132 2 254
151 132 2 194
152 132 2 126
145 133 2 122
146 133 2 198
147 133 2 288
148 133 2 288
149 133 2 288
150 133 2 274
151 133 2 214
152 133 2 162
143 134 2 14
144 134 2 74
145 134 2 126
147 134 2 288
148 134 2 288
149 134 2 288
150 134 2 288
151 134 2 224
152 134 2 176
144 135 2 64
145 135 2 112
146 135 2 176
147 135 2 288
148 135 2 288
149 135 2 288
150 135 2 262
144 136 2 38
148 136 2 288
149 136 2 262
150 136 2 226
151 136 2 166
152 136 2 98
144 137 2 24
145 137 2 54
146 137 2 88
148 137 2 176
149 137 2 162
150 137 2 142
152 137 2 62
144 138 2 14
145 138 2 34
146 138 2 54
148 138 2 112
150 138 2 82
151 138 2 62
145 139 2 14
146 139 2 24
147 139 2 38
148 139 2 64
145 129 3 72
146 129 3 112
147 129 3 176
148 129 3 162
149 129 3 126
145 130 3 88
146 130 3 138
147 130 3 224
148 130 3 214
149 130 3 194
150 130 3 148
144 131 3 86
145 131 3 138
146 131 3 214
147 131 3 288
148 131 3 274
149 131 3 254
151 131 3 148
144 132 3 74
145 132 3 126
147 132 3 288
148 132 3 288
149 132 3 274
150 132 3 254
151 132 3 194
152 132 3 126
145 133 3 122
146 133 3 198
147 133 3 288
148 133 3 288
149 133 3 288
150 133 3 274
151 133 3 214
152 133 3 162
143 134 3 14
144 134 3 74
145 134 3 126
